activity	time	p	p_peak	p_smooth
Boating	1090.0	3.3096096319664217e-4	0.4913906605742557	0.5057480263287508
Playing baseball	1090.0	3.081730414459905e-4	0.6601109404146637	0.6579762300528258
Running	1095.0	9.79238243499749e-4	0.6681193613357342	0.6584837696254257
Hiking	1095.0	1.1490655333086126e-4	0.22715192645949006	0.22255718412959022
Biking	1095.0	7.89767427474654e-4	0.9517661384200735	0.9324685964886106
Walking	1095.0	0.0037986855031537756	0.821597551770634	0.803115803810137
Doing yoga	1095.0	3.94778753365358e-4	0.9247103090942705	0.9181002430250785
Fishing	1095.0	0.0011103116503534825	0.6642806845448542	0.6669055846940681
Dancing	1095.0	2.1224390743703432e-4	0.28471294316179546	0.30733004241514844
Playing football	1095.0	6.486331882494962e-4	0.6709908245671702	0.6484130697416495
Softball	1095.0	3.9543617774813776e-4	0.664047758028194	0.6730456993579089
Playing soccer	1095.0	6.114082079584076e-4	0.7595163692670621	0.7793906142306698
Doing aerobics	1095.0	4.567255103394582e-4	0.7466961669275	0.7505246682728837
Hunting	1095.0	4.08317576974974e-4	0.3756954354958177	0.37058766299837215
Bowling	1095.0	8.248667604575062e-4	0.6691545890949624	0.6589094898589193
Rollerblading	1095.0	1.777141737123871e-4	0.5581083567037725	0.561243831718743
Golfing	1095.0	0.001089829279270224	0.4647961010804257	0.4581294953457669
Boating	1095.0	3.5504677848640455e-4	0.5271518106851033	0.4928729359431248
Playing baseball	1095.0	3.052661256991811e-4	0.6538842864597011	0.6405331790858749
Running	1100.0	9.676430772986141e-4	0.6602081557753829	0.653610252639374
Hiking	1100.0	1.0793369583234001e-4	0.21336769946979056	0.20560543806618628
Biking	1100.0	7.699700419238697e-4	0.9279078726306959	0.9280830039666134
Walking	1100.0	0.003735456031789054	0.8079219845698544	0.811973946064704
Doing yoga	1100.0	3.828044296202372e-4	0.8966622428871768	0.9179415197044171
Fishing	1100.0	0.0011152132710079581	0.6672132412938514	0.666235722377519
Dancing	1100.0	2.376953994388211e-4	0.31885464966914184	0.30821636250615686
Playing football	1100.0	6.020981757767157e-4	0.622851803998978	0.6285182482894294
Softball	1100.0	4.1151082667515067e-4	0.6910415820173385	0.6907053355599005
Playing soccer	1100.0	6.307249748792463e-4	0.7835124499325208	0.7592445758744634
Doing aerobics	1100.0	4.6396762968071607e-4	0.7585362385462925	0.7391504499872438
Hunting	1100.0	3.8896588520098024e-4	0.3578898285893655	0.36382503089151624
Bowling	1100.0	8.934477986614936e-4	0.7247894123646526	0.7141270095693897
Rollerblading	1100.0	1.7806517726168397e-4	0.5592106774135	0.5480107325728932
Golfing	1100.0	0.0010530163999612407	0.449095951435137	0.4502938245109642
Boating	1100.0	3.09870169932107e-4	0.4600763365700156	0.4978195657735478
Playing baseball	1100.0	2.8366030141672717e-4	0.6076043103832597	0.6307458456753535
Running	1105.0	9.270369912607757e-4	0.6325032408070049	0.6590425440888855
Hiking	1105.0	8.918103900070054e-5	0.17629668826927825	0.19640277088035316
Biking	1105.0	7.506086238415249e-4	0.9045750008490709	0.9441609578265889
Walking	1105.0	0.003728429724698558	0.8064023018536234	0.8480162429965743
Doing yoga	1105.0	3.9808385104852525e-4	0.9324520071318037	0.9144921027388708
Fishing	1105.0	0.0011152132710079581	0.6672132412938514	0.6671842905894474
Dancing	1105.0	2.393554373798834e-4	0.3210814946875333	0.3303079798928999
Playing football	1105.0	5.719960727786266e-4	0.5917121163021399	0.6082965646250832
Softball	1105.0	4.269847777804945e-4	0.7170266666341691	0.7211164055322907
Playing soccer	1105.0	5.91435062645366e-4	0.734704908423807	0.7663111764667341
Doing aerobics	1105.0	4.356371109191293e-4	0.7122189444879385	0.7338617096200896
